,please',call',stella',ask',her',to',bring',these',things',with',from',the',store',six',spoons',of',fresh',snow',peas',five',thick',slabs',blue',cheese',and',maybe',a',snack',for',brother',bob',we',also',need',small',plastic',snake',big',toy',frog',kids',she',can',scoop',into',three',red',bags',will',go',meet',wednesday',at',train',station'],
Original,4,4,4,3,16,5,4,8,8,5,4,13,4,2,1,6,4,4,4,2,3,3,4,4,11,4,10,4,8,4,3,6,3,3,4,4,4,4,4,2,4,5,4,1,4,4,4,3,3,4,4,4,5,4,4,
['500',4,4,4,3,15,5,4,8,8,5,4,14,4,2,1,6,3,3,3,2,2,2,4,4,10,4,9,4,7,3,2,6,3,3,4,4,4,4,4,3,4,5,4,2,4,4,4,4,3,4,4,4,5,4,4,
['600',4,4,4,3,15,5,4,8,8,5,4,12,4,3,1,6,3,3,3,2,1,1,4,4,10,4,11,4,7,3,2,6,3,3,4,4,4,4,4,2,4,4,4,2,4,4,4,4,3,4,4,4,5,4,4,
['700',4,4,4,3,15,5,4,8,8,5,4,12,4,2,1,6,3,3,3,1,2,2,4,4,10,4,12,4,7,3,2,6,3,3,4,4,4,4,4,2,4,4,4,2,4,3,3,4,3,4,4,4,5,4,4,
['800',3,3,3,2,13,3,3,7,7,4,3,12,3,1,1,7,4,4,4,2,2,2,4,4,10,4,11,4,7,3,1,6,3,3,4,4,4,4,4,2,4,3,3,2,4,3,4,4,3,4,4,4,5,5,4,
['900',3,3,3,2,14,4,4,7,7,5,4,11,4,3,1,6,4,4,4,2,1,1,4,4,10,3,10,3,7,3,1,5,2,3,4,3,4,3,3,2,4,2,3,1,4,3,3,3,3,4,4,4,5,4,4,
Drops,1,1,1,1,3,2,1,1,1,1,1,2,1,1,0,0,1,1,1,1,2,2,0,0,1,1,1,1,1,1,2,1,1,0,0,1,0,1,1,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0.8181818182
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,4,16,4,4,6,5,4,4,13,4,4,2,8,3,2,2,2,2,3,4,4,13,4,11,5,8,4,3,7,4,4,4,4,3,5,4,4,4,4,4,3,4,4,3,3,3,4,4,2,3,4,4,
['500',4,4,4,4,15,4,4,6,5,4,4,14,4,3,2,8,3,2,2,1,2,3,4,4,13,4,11,5,8,4,2,7,4,4,4,4,3,5,4,4,4,4,4,3,4,4,4,3,3,4,3,2,3,4,4,
['600',4,4,4,4,14,4,4,6,6,3,4,14,4,3,1,8,3,2,2,1,1,3,4,4,13,4,10,5,8,4,2,7,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,3,4,3,2,3,4,4,
['700',4,4,4,4,14,4,4,6,5,4,4,14,4,3,2,8,3,2,2,2,2,2,4,4,12,4,11,5,8,4,2,7,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,3,4,4,
['800',3,4,4,4,13,4,4,6,5,3,4,13,4,3,2,8,3,2,2,1,2,2,4,4,13,4,10,5,8,4,2,7,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,2,2,3,4,4,
['900',2,4,4,4,13,4,4,6,5,3,4,14,4,3,2,8,3,2,2,2,2,3,4,4,13,4,10,5,8,4,2,5,4,4,4,4,3,4,4,4,4,4,4,4,3,3,3,3,2,2,2,1,3,4,4,
Drops,2,0,0,0,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,2,2,1,0,0,0,0.4727272727
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,4,16,4,4,6,6,4,4,12,3,4,3,7,1,1,1,1,0,0,4,4,12,4,10,3,8,4,1,8,4,4,4,4,5,4,4,3,3,2,4,2,4,4,3,3,4,4,4,4,4,4,4,
['500',4,4,4,4,16,4,4,5,6,4,4,12,4,4,3,7,1,1,1,1,0,0,4,4,12,4,11,3,8,4,1,8,4,4,4,4,5,4,4,3,4,3,3,3,4,3,3,3,4,4,4,4,4,4,4,
['600',4,4,4,4,16,4,4,5,6,5,4,12,4,5,3,7,1,1,1,1,0,0,4,4,12,4,10,3,8,4,1,8,4,4,4,4,5,4,4,3,4,1,2,1,4,3,2,3,4,4,3,4,4,4,4,
['700',3,3,3,4,15,4,4,4,5,4,4,10,3,5,4,8,1,1,1,2,0,0,3,3,11,4,9,3,7,4,1,7,3,3,3,3,4,3,3,3,4,1,1,1,3,2,2,2,4,4,4,3,3,4,4,
['800',2,3,3,3,12,3,3,3,4,3,3,9,2,4,1,7,1,1,1,1,0,0,3,3,10,4,9,3,7,3,1,6,3,3,3,3,4,3,3,3,3,1,1,1,3,2,1,1,3,3,3,3,3,3,3,
['900',2,3,3,3,12,4,3,2,3,4,3,10,2,4,1,6,1,1,1,2,0,0,2,2,10,3,9,2,6,3,1,6,3,3,3,3,4,3,3,2,2,2,2,1,2,2,1,1,3,4,3,3,3,3,3,
Drops,2,1,1,1,4,1,1,4,3,1,1,3,1,0,2,1,0,0,0,0,0,0,2,2,2,1,1,1,2,1,0,2,1,1,1,1,1,1,1,1,1,1,3,1,2,2,2,2,1,1,1,1,1,1,1,1.272727273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,3,3,4,2,10,5,3,3,4,3,4,13,4,3,0,5,3,3,3,1,1,1,3,3,11,4,10,4,7,4,2,5,2,2,2,3,4,3,4,3,2,2,2,1,1,1,1,2,2,3,4,4,4,4,4,
['500',3,3,2,2,9,5,3,4,4,3,3,10,3,2,0,6,3,3,3,2,0,0,2,3,9,4,9,5,6,4,2,5,2,2,2,3,2,2,2,3,1,2,2,1,1,1,1,0,2,2,3,4,4,4,4,
['600',3,3,2,2,11,5,4,4,4,4,3,7,3,2,0,6,3,3,3,1,0,0,2,3,10,4,10,5,6,4,2,4,2,2,2,3,2,2,2,3,2,2,2,0,1,1,1,1,2,2,3,4,4,3,3,
['700',2,3,3,3,11,5,3,3,3,3,4,9,4,2,0,5,2,3,1,1,0,0,2,3,9,4,10,5,5,3,2,4,2,2,2,2,2,2,1,3,1,2,3,0,2,2,2,1,2,2,3,3,3,3,3,
['800',3,3,2,1,9,4,2,2,4,3,3,7,3,2,0,5,2,3,2,1,0,0,2,3,9,4,9,5,6,3,2,2,1,1,1,2,2,2,1,3,1,2,2,0,2,2,2,1,1,3,3,3,3,3,3,
['900',3,3,3,2,10,3,2,1,1,4,3,8,3,2,0,6,2,3,1,1,0,0,2,3,9,4,11,5,7,3,2,4,2,2,2,2,1,2,1,3,3,2,2,0,0,0,0,0,1,2,2,3,3,3,3,
Drops,1,0,2,1,1,2,1,2,3,0,1,6,1,1,0,0,1,0,2,0,1,1,1,0,2,0,1,0,2,1,0,3,1,1,1,1,3,1,3,0,1,0,0,1,1,1,1,2,1,1,2,1,1,1,1,1.145454545
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,4,14,4,4,8,8,4,4,15,4,4,1,8,3,3,3,1,1,1,4,4,12,4,7,4,7,4,3,8,4,4,4,4,3,4,3,4,4,2,2,3,3,3,3,2,4,4,4,4,4,4,4,
['500',3,4,4,3,14,3,3,6,7,5,4,14,4,3,1,6,3,3,3,1,0,0,4,4,12,4,10,4,7,4,3,8,4,4,4,4,4,4,2,4,4,2,2,2,2,2,3,2,4,4,4,4,4,4,4,
['600',3,4,4,3,14,3,3,5,7,6,4,15,4,3,2,6,4,4,4,1,0,0,4,4,12,4,10,4,7,4,3,8,4,4,4,4,4,4,2,4,4,1,1,2,1,2,3,2,4,4,4,4,4,4,4,
['700',3,4,4,3,14,3,3,5,7,6,4,14,4,4,2,6,4,4,4,1,0,0,4,4,11,3,10,4,7,4,3,8,4,4,4,4,4,4,2,4,4,1,1,1,1,1,2,1,4,4,4,4,4,4,4,
['800',3,4,4,3,13,3,3,5,7,6,4,11,4,4,1,6,4,4,4,1,0,0,4,4,11,4,11,4,7,4,2,8,4,4,4,4,3,3,1,4,4,2,2,2,1,1,3,2,4,4,4,3,3,3,3,
['900',2,3,3,2,8,3,3,3,4,2,2,7,2,2,0,3,2,2,2,0,0,0,3,3,6,2,6,3,4,2,2,4,2,2,2,2,1,2,1,3,2,0,0,0,1,1,2,1,2,2,2,3,2,2,2,
Drops,2,1,1,2,6,1,1,5,4,2,2,8,2,2,1,5,1,1,1,1,1,1,1,1,6,2,1,1,3,2,1,4,2,2,2,2,2,2,2,1,2,2,2,3,2,2,1,1,2,2,2,1,2,2,2,2.109090909
