,please',call',stella',ask',her',to',bring',these',things',with',from',the',store',six',spoons',of',fresh',snow',peas',five',thick',slabs',blue',cheese',and',maybe',a',snack',for',brother',bob',we',also',need',small',plastic',snake',big',toy',frog',kids',she',can',scoop',into',three',red',bags',will',go',meet',wednesday',at',train',station'],
Original,4,4,4,3,16,5,4,8,8,5,4,13,4,2,1,6,4,4,4,2,3,3,4,4,11,4,10,4,8,4,3,6,3,3,4,4,4,4,4,2,4,5,4,1,4,4,4,3,3,4,4,4,5,4,4,
['900',4,4,4,3,14,5,4,7,7,6,4,13,4,2,0,6,3,3,3,2,1,2,4,4,10,4,10,3,7,3,3,6,3,4,4,4,4,4,4,2,4,3,3,2,4,3,3,3,3,4,4,4,5,4,4,
['800',4,4,4,3,14,5,4,7,7,5,4,14,4,2,0,6,3,3,3,2,1,2,4,4,10,4,9,3,7,3,3,6,3,4,4,4,4,4,4,2,4,3,3,2,4,3,3,3,3,4,4,4,5,4,4,
['700',4,4,4,3,14,5,4,6,7,6,4,14,4,3,1,6,3,3,3,2,0,1,4,4,10,4,9,3,7,3,3,6,3,4,4,4,4,4,4,2,4,3,3,2,4,3,3,2,3,4,4,4,5,4,4,
['600',3,3,3,3,15,5,4,5,6,6,5,13,4,4,1,6,3,2,2,3,0,0,4,4,11,4,11,4,7,4,3,6,3,4,4,4,4,4,4,1,3,3,3,1,4,3,3,3,3,4,4,4,4,4,4,
['500',3,3,3,3,15,5,4,5,6,5,5,12,4,3,0,6,2,2,2,2,0,0,3,3,10,4,10,4,7,4,3,5,3,4,4,4,3,5,3,2,3,3,2,2,4,3,3,1,3,4,4,4,4,3,4,
Drops,1,1,1,0,2,0,0,3,2,0,0,1,0,0,1,0,2,2,2,0,3,3,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,2,2,0,0,1,1,2,0,0,0,0,1,1,0,0.8363636364
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,4,16,4,4,6,5,4,4,13,4,4,2,8,3,2,2,2,2,3,4,4,13,4,11,5,8,4,3,7,4,4,4,4,3,5,4,4,4,4,4,3,4,4,3,3,3,4,4,2,3,4,4,
['900',4,4,4,4,16,5,4,5,5,4,5,12,4,3,2,8,3,2,2,2,2,2,4,4,13,4,13,5,7,4,4,8,4,4,4,4,3,4,4,3,4,4,4,3,4,3,2,3,4,4,4,1,2,4,4,
['800',4,4,4,4,16,5,4,5,5,4,4,12,4,3,2,8,3,2,2,2,2,2,3,3,13,4,13,5,8,4,4,8,4,4,4,4,3,4,4,3,4,4,4,3,4,3,2,3,4,4,4,1,2,4,4,
['700',4,4,4,4,15,6,4,4,6,3,5,13,4,2,2,8,3,2,2,1,2,2,3,3,13,4,13,5,7,4,3,6,3,4,4,4,3,4,4,3,4,3,4,3,3,3,2,3,4,4,4,2,2,4,4,
['600',4,4,4,4,14,6,4,4,6,3,4,15,4,2,2,7,2,2,2,1,2,2,3,3,13,4,13,5,8,4,3,6,3,4,4,4,3,4,4,3,4,3,4,3,1,1,1,2,4,4,3,2,2,4,4,
['500',4,4,4,4,12,7,4,4,6,2,4,14,4,2,1,7,2,2,2,0,0,1,2,3,12,4,13,5,8,4,2,5,3,4,4,3,3,4,4,3,4,3,4,3,1,2,1,2,3,4,3,1,3,3,3,
Drops,0,0,0,0,4,0,0,2,0,2,0,1,0,2,1,1,1,0,0,2,2,2,2,1,1,0,0,0,1,0,1,2,1,0,0,1,0,1,0,1,0,1,0,0,3,3,2,1,0,0,1,1,1,1,1,0.8545454545
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,4,16,4,4,6,6,4,4,12,3,4,3,7,1,1,1,1,0,0,4,4,12,4,10,3,8,4,1,8,4,4,4,4,5,4,4,3,3,2,4,2,4,4,3,3,4,4,4,4,4,4,4,
['900',4,4,4,4,16,4,4,6,6,4,4,12,3,4,3,7,1,1,1,1,0,0,3,3,12,4,10,3,7,4,0,8,4,4,4,4,5,4,4,4,4,3,3,3,4,4,3,3,4,4,4,4,4,4,4,
['800',4,4,3,4,16,4,4,6,6,4,4,12,3,5,2,7,2,2,2,2,0,0,3,3,12,4,9,3,7,4,0,8,4,4,4,4,4,4,4,4,4,2,3,2,4,4,3,3,4,4,4,4,4,4,4,
['700',4,4,4,4,16,4,4,6,6,4,4,12,4,5,1,6,1,1,1,2,0,0,3,3,12,4,9,3,8,4,0,8,4,4,4,4,4,4,3,4,3,3,4,2,4,4,3,3,4,4,4,4,4,4,4,
['600',4,4,4,4,16,4,4,5,5,4,4,12,4,6,1,7,1,1,1,1,1,1,4,4,12,4,9,3,7,4,1,8,4,4,4,4,4,4,3,4,3,3,3,2,4,4,2,1,4,5,4,3,4,4,4,
['500',4,4,4,3,15,4,4,5,5,4,4,12,4,5,1,7,1,1,1,1,0,0,3,3,12,4,10,3,8,4,1,7,4,4,4,4,4,4,3,2,3,3,4,2,4,3,1,0,3,5,4,3,4,3,3,
Drops,0,0,1,1,1,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,2,3,1,0,0,1,0,1,1,0.5090909091
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,3,3,4,2,10,5,3,3,4,3,4,13,4,3,0,5,3,3,3,1,1,1,3,3,11,4,10,4,7,4,2,5,2,2,2,3,4,3,4,3,2,2,2,1,1,1,1,2,2,3,4,4,4,4,4,
['900',3,2,1,1,8,7,3,3,5,3,3,14,3,3,1,5,2,2,1,2,1,0,1,1,10,4,8,3,8,4,3,3,2,2,2,2,4,3,2,2,2,2,1,0,3,1,0,1,3,3,3,3,4,4,4,
['800',3,2,1,2,10,6,3,2,4,3,3,13,3,2,1,4,2,3,1,1,1,0,2,1,10,4,8,3,8,4,3,3,2,2,2,2,4,3,2,2,2,2,1,0,3,1,0,1,3,3,3,4,4,4,4,
['700',3,2,1,2,9,6,3,2,5,3,3,15,3,2,0,4,1,2,1,1,0,0,2,1,10,3,6,2,7,4,3,3,2,2,2,2,4,3,3,2,2,2,1,0,3,2,1,0,3,3,3,4,4,4,4,
['600',2,1,0,1,7,5,3,1,5,2,3,16,3,3,0,3,1,1,1,1,0,0,2,1,10,3,6,2,7,4,3,3,2,2,2,2,4,3,2,2,2,2,2,1,3,2,1,0,1,4,3,3,5,5,4,
['500',1,1,0,0,6,6,3,1,4,2,2,14,3,2,0,3,1,2,1,1,0,0,2,2,10,2,5,1,7,4,3,3,2,2,2,2,3,3,2,2,3,2,1,0,4,1,1,0,1,4,3,3,4,4,4,
Drops,2,2,4,2,4,0,0,2,0,1,2,0,1,1,0,2,2,2,2,0,1,1,2,2,1,2,5,3,0,0,0,2,0,0,0,1,1,0,2,1,0,0,1,1,0,0,1,2,1,0,1,1,0,0,0,1.109090909
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,4,14,4,4,8,8,4,4,15,4,4,1,8,3,3,3,1,1,1,4,4,12,4,7,4,7,4,3,8,4,4,4,4,3,4,3,4,4,2,2,3,3,3,3,2,4,4,4,4,4,4,4,
['900',4,4,4,4,13,4,4,7,8,6,4,16,4,1,2,6,4,4,4,1,0,1,4,4,12,4,7,2,6,4,1,7,4,4,4,4,4,4,2,3,4,0,0,2,3,2,2,1,3,3,3,4,4,4,4,
['800',4,4,4,4,13,4,4,8,8,6,4,15,4,1,2,5,2,2,2,1,1,1,4,4,12,4,7,2,6,4,1,7,4,4,4,4,3,3,2,3,4,2,2,3,3,3,2,0,3,3,3,4,4,4,4,
['700',4,4,4,4,13,3,3,7,7,5,4,15,4,1,3,7,2,2,2,1,0,0,4,4,13,4,7,2,6,4,1,8,4,4,4,5,3,3,2,3,3,1,1,3,3,2,1,0,4,4,4,3,4,4,4,
['600',3,3,3,3,12,5,3,6,5,6,4,16,4,1,1,3,2,2,2,1,0,0,4,4,13,4,7,2,6,4,1,6,4,3,4,5,3,3,1,2,3,1,1,3,3,3,2,0,3,3,4,4,4,3,4,
['500',3,3,3,3,12,5,3,4,5,7,4,18,4,1,1,2,1,1,1,1,1,1,4,4,13,4,7,2,5,4,2,6,4,3,3,3,3,2,1,2,4,0,0,1,2,0,0,0,3,3,2,3,4,3,4,
Drops,1,1,1,1,2,1,1,4,3,0,0,0,0,3,0,6,2,2,2,0,1,1,0,0,0,0,0,2,2,0,2,2,0,1,1,1,0,2,2,2,1,2,2,2,1,3,3,2,1,1,2,1,0,1,0,1.290909091
