,please',call',stella',ask',her',to',bring',these',things',with',from',the',store',six',spoons',of',fresh',snow',peas',five',thick',slabs',blue',cheese',and',maybe',a',snack',for',brother',bob',we',also',need',small',plastic',snake',big',toy',frog',kids',she',can',scoop',into',three',red',bags',will',go',meet',wednesday',at',train',station'],
Original,4,4,4,3,16,5,4,8,8,5,4,13,4,2,1,6,4,4,4,2,3,3,4,4,11,4,10,4,8,4,3,6,3,3,4,4,4,4,4,2,4,5,4,1,4,4,4,3,3,4,4,4,5,4,4,
['10',4,5,4,3,14,4,4,5,7,4,5,15,4,2,1,8,3,3,2,1,2,2,3,3,9,4,9,3,6,4,3,5,3,4,4,4,4,5,3,2,3,3,3,1,4,3,3,2,2,4,3,4,4,4,4,
['8',4,5,4,3,15,3,4,5,8,4,5,17,4,0,0,6,3,3,1,0,2,3,3,3,11,4,8,3,6,4,2,5,3,3,4,4,3,4,2,2,3,4,5,3,4,3,4,1,2,4,4,4,4,4,4,
['6',4,5,4,3,13,4,4,5,7,5,5,17,4,2,0,6,3,3,2,1,0,1,3,3,11,4,10,3,5,3,1,5,3,3,4,4,3,3,1,2,3,4,4,1,4,3,3,1,2,3,3,4,5,4,4,
['4',4,5,4,3,13,4,4,4,7,5,5,17,4,3,0,6,2,2,0,1,0,0,2,2,12,4,9,3,4,4,1,5,3,3,4,4,4,4,2,0,3,3,3,1,4,3,3,1,3,3,3,4,5,4,4,
['2',4,4,4,3,12,4,4,4,6,6,4,15,4,3,0,7,2,2,1,2,0,1,3,3,10,4,10,3,5,2,1,6,3,3,4,3,4,3,1,1,2,2,2,0,4,3,3,1,3,2,3,4,5,4,4,
Drops,0,0,0,0,4,2,0,4,2,1,0,0,0,2,1,0,2,2,4,2,3,3,2,2,2,0,2,1,4,2,2,1,0,0,0,1,1,1,3,2,2,3,2,1,0,1,1,2,1,2,1,0,1,0,0,1.363636364
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gujarati
Original,4,4,4,4,16,4,4,6,5,4,4,13,4,4,2,8,3,2,2,2,2,3,4,4,13,4,11,5,8,4,3,7,4,4,4,4,3,5,4,4,4,4,4,3,4,4,3,3,3,4,4,2,3,4,4,
['10',3,3,3,4,14,5,4,5,7,4,5,12,4,3,0,8,3,2,1,1,1,1,3,3,12,4,11,4,8,4,3,5,4,5,4,4,1,3,4,2,4,3,3,2,4,4,2,3,3,4,2,2,4,3,3,
['8',3,3,3,5,13,4,4,3,5,3,4,13,4,2,0,8,2,2,2,0,1,2,3,3,12,4,10,3,8,4,2,5,4,4,4,4,2,3,4,2,4,3,4,1,3,3,3,3,4,4,3,1,3,3,3,
['6',3,3,3,4,13,5,4,2,4,3,4,12,4,2,0,5,2,2,2,0,0,0,2,2,12,4,12,4,8,3,1,4,4,4,4,4,3,4,4,2,4,2,1,1,1,1,1,1,3,4,2,1,3,3,3,
['4',3,3,3,4,12,5,4,3,5,4,4,14,4,2,1,7,2,2,2,1,0,0,2,2,12,4,10,3,9,4,2,2,3,5,4,4,2,3,3,2,4,1,2,2,1,1,2,1,3,3,2,1,3,3,3,
['2',4,4,3,4,13,6,4,2,3,4,4,13,4,3,0,7,1,2,0,0,0,1,2,2,13,4,9,3,7,4,1,4,3,3,4,3,2,4,2,1,3,1,1,0,1,2,1,1,2,3,3,0,2,2,3,
Drops,1,1,1,0,4,0,0,4,2,1,0,1,0,2,2,3,2,0,2,2,2,3,2,2,1,0,2,2,1,1,2,5,1,1,0,1,2,2,2,3,1,3,3,3,3,3,2,2,1,1,2,2,1,2,1,1.690909091
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indonesian
Original,4,4,4,4,16,4,4,6,6,4,4,12,3,4,3,7,1,1,1,1,0,0,4,4,12,4,10,3,8,4,1,8,4,4,4,4,5,4,4,3,3,2,4,2,4,4,3,3,4,4,4,4,4,4,4,
['10',4,4,3,3,16,4,4,6,7,4,4,12,4,4,1,6,1,1,1,2,0,0,2,2,12,4,10,3,8,4,1,8,4,4,4,4,4,4,3,1,3,2,4,2,3,2,1,0,4,5,4,4,4,4,4,
['8',4,4,3,4,16,4,4,6,7,4,4,12,3,5,2,7,1,1,1,1,0,0,3,3,12,4,11,3,9,3,2,9,4,4,4,4,3,4,3,2,4,1,3,3,3,2,1,0,4,5,4,4,4,4,4,
['6',4,4,4,4,16,4,4,5,6,4,4,11,3,3,1,6,1,1,1,2,0,0,4,3,12,4,9,3,7,4,1,7,3,4,4,4,3,4,4,3,4,1,3,2,3,2,1,0,4,5,4,4,5,3,3,
['4',4,4,4,4,16,5,4,4,5,5,4,12,3,4,1,6,1,1,1,1,0,0,3,3,12,4,9,3,9,2,1,8,4,4,4,4,3,4,3,1,4,1,2,2,2,2,1,0,4,5,4,4,4,3,3,
['2',4,4,4,4,13,5,4,4,4,4,4,11,3,3,1,5,0,0,0,0,0,0,1,1,12,4,11,3,8,4,2,6,3,4,4,4,3,4,3,1,3,1,2,2,2,1,1,0,4,4,4,4,4,3,3,
Drops,0,0,1,1,3,0,0,2,2,0,0,1,0,1,2,2,1,1,1,1,0,0,3,3,0,0,1,0,1,2,0,2,1,0,0,0,2,0,1,2,0,1,2,0,2,3,2,3,0,0,0,0,0,1,1,0.9454545455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Korean
Original,3,3,4,2,10,5,3,3,4,3,4,13,4,3,0,5,3,3,3,1,1,1,3,3,11,4,10,4,7,4,2,5,2,2,2,3,4,3,4,3,2,2,2,1,1,1,1,2,2,3,4,4,4,4,4,
['10',2,2,1,1,9,4,3,2,3,1,4,12,4,2,0,6,1,1,0,0,0,0,1,0,9,2,7,2,6,4,2,4,2,3,2,2,4,3,3,2,4,2,2,0,3,3,0,0,2,3,3,4,4,4,3,
['8',2,2,1,0,6,5,2,2,3,1,3,11,3,1,0,4,1,1,0,0,0,0,1,0,11,2,8,1,5,4,2,4,2,3,2,2,4,3,2,2,3,2,2,0,3,2,1,0,2,2,3,3,4,4,4,
['6',2,2,1,0,7,5,3,0,0,1,3,13,3,2,0,6,1,1,1,0,0,0,1,0,10,2,6,1,6,3,1,4,2,3,3,2,2,3,2,2,2,2,2,0,2,0,0,0,2,2,2,4,4,4,4,
['4',0,1,0,0,3,5,2,0,0,2,3,12,4,0,0,4,1,1,1,0,0,0,1,1,8,2,10,1,7,2,0,4,2,2,2,2,3,2,1,1,2,1,1,0,2,0,0,0,2,1,2,3,4,3,3,
['2',2,2,0,0,2,5,1,0,0,2,2,11,2,0,0,5,1,1,1,0,0,0,0,0,9,2,9,1,6,2,0,5,2,3,3,2,3,5,3,1,4,2,3,0,2,2,0,0,2,2,1,3,5,3,3,
Drops,3,2,4,2,8,1,2,3,4,2,2,2,2,3,0,1,2,2,3,1,1,1,3,3,3,2,4,3,2,2,2,1,0,0,0,1,2,1,3,2,0,1,1,1,0,1,1,2,0,2,3,1,0,1,1,1.818181818
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Russian
Original,4,4,4,4,14,4,4,8,8,4,4,15,4,4,1,8,3,3,3,1,1,1,4,4,12,4,7,4,7,4,3,8,4,4,4,4,3,4,3,4,4,2,2,3,3,3,3,2,4,4,4,4,4,4,4,
['10',3,3,4,4,12,4,4,4,5,5,4,16,4,0,0,5,2,1,0,0,0,0,3,3,12,4,7,3,5,3,1,7,4,4,4,4,1,3,2,2,3,1,1,2,3,2,2,1,3,4,3,3,4,3,4,
['8',3,3,3,4,13,4,4,5,6,7,4,17,4,2,0,4,1,2,0,0,0,0,3,4,12,4,9,3,5,3,1,6,4,4,4,4,2,2,2,2,2,1,1,2,3,2,3,1,3,4,3,2,4,3,4,
['6',4,3,2,3,12,3,3,4,4,6,4,19,4,2,0,6,1,1,0,0,0,1,3,4,13,4,9,2,5,2,1,7,4,4,4,4,2,2,1,2,3,1,1,2,0,1,1,1,3,3,3,2,4,3,4,
['4',3,3,3,2,8,4,2,2,4,5,4,19,4,1,0,3,2,1,0,0,0,0,2,2,12,2,8,2,6,3,1,5,4,3,3,4,1,3,1,2,2,1,1,2,2,1,2,1,3,3,2,3,4,3,4,
['2',4,3,2,2,7,3,2,1,2,4,5,21,4,1,0,3,1,2,0,0,0,0,1,2,12,3,9,1,5,3,1,3,3,4,2,3,2,6,1,3,2,2,2,2,0,1,1,1,2,2,1,2,4,2,2,
Drops,1,1,2,2,7,1,2,7,6,0,0,0,0,4,1,5,2,2,3,1,1,1,3,2,0,2,0,3,2,2,2,5,1,1,2,1,2,2,2,2,2,1,1,1,3,2,2,1,2,2,3,2,0,2,2,1.981818182
