,please',call',stella',ask',her',to',bring',these',things',with',from',the',store',six',spoons',of',fresh',snow',peas',five',thick',slabs',blue',cheese',and',maybe',a',snack',for',brother',bob',we',also',need',small',plastic',snake',big',toy',frog',kids',she',can',scoop',into',three',red',bags',will',go',meet',wednesday',at',train',station'],
Original,4,4,4,4,16,4,4,8,8,4,4,12,4,0,2,8,4,4,4,0,4,4,4,4,11,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,3,4,0,4,4,4,4,4,4,4,4,4,
['0.05',4,4,4,4,16,4,4,7,8,4,4,12,4,0,2,8,4,3,3,0,2,4,4,4,11,4,11,4,8,4,3,7,3,3,4,4,4,4,3,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,
['0.04',4,4,4,4,16,4,4,7,8,4,4,12,4,0,2,8,4,3,3,0,2,4,4,4,11,4,11,4,8,4,3,7,3,3,4,4,4,4,3,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,
['0.03',4,4,4,4,16,4,4,7,8,4,5,13,4,0,2,8,4,3,3,0,2,4,4,4,10,4,10,4,7,4,3,6,3,3,4,4,3,4,2,3,4,4,4,4,4,1,3,4,3,2,3,4,4,4,4,
['0.02',4,4,4,4,16,4,4,8,8,4,5,13,4,0,2,8,4,3,3,0,2,4,4,4,9,4,10,4,7,4,3,6,3,3,4,3,3,3,3,3,4,4,4,3,4,0,4,4,3,2,3,4,4,4,4,
['0.01',5,4,3,3,15,3,4,8,8,4,5,13,4,0,2,9,4,4,4,0,2,4,3,3,7,4,7,3,7,3,3,5,2,2,5,3,2,2,2,3,4,4,4,2,4,2,2,3,3,1,2,4,4,4,4,
Drops,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,1,4,0,5,1,1,1,1,3,2,2,0,1,2,2,2,1,0,0,0,1,0,0,2,1,1,3,2,0,0,0,0,0.8909090909
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,4,16,4,4,7,8,4,4,12,4,0,3,8,4,4,4,0,2,3,4,4,12,4,11,5,8,4,4,8,4,4,4,4,3,4,4,3,4,4,4,4,4,0,4,4,4,4,4,3,4,4,4,
['0.05',3,3,3,4,15,4,4,6,8,4,4,12,4,0,2,8,4,2,2,0,1,2,4,4,10,3,8,4,8,4,4,8,4,4,4,3,2,3,2,3,4,4,4,4,4,0,3,3,4,4,3,2,3,4,4,
['0.04',3,3,3,4,16,4,3,6,8,5,4,12,4,0,2,7,4,2,3,0,1,2,4,4,9,3,7,4,8,4,3,8,3,3,3,3,2,2,1,3,4,4,4,4,4,1,2,2,4,4,3,3,4,4,4,
['0.03',3,3,3,4,16,4,3,6,8,5,4,12,4,0,2,7,4,2,3,0,2,2,4,4,9,3,8,4,8,4,3,8,3,3,3,3,2,2,1,3,4,4,4,4,4,1,1,3,4,3,3,3,3,4,4,
['0.02',3,3,3,3,14,5,3,5,6,4,4,12,4,0,2,7,4,2,3,0,1,2,4,4,11,3,7,3,9,4,3,8,3,3,3,4,3,2,1,3,4,4,4,4,3,1,1,3,4,3,2,3,3,4,4,
['0.01',3,3,3,3,11,6,3,5,6,5,6,12,4,0,1,7,4,2,2,0,1,2,4,4,8,2,7,2,7,3,2,8,3,3,3,3,1,2,1,2,3,4,4,4,2,1,1,2,5,3,1,2,2,4,4,
Drops,1,1,1,1,5,0,1,2,2,0,0,0,0,0,2,1,0,2,2,0,1,1,0,0,4,2,4,3,1,1,2,0,1,1,1,1,2,2,3,1,1,0,0,0,2,0,3,2,0,1,3,1,2,0,0,1.218181818
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,3,16,4,4,6,6,4,4,12,4,0,3,7,3,1,1,0,2,2,4,4,10,4,11,3,8,4,2,8,4,4,4,4,5,4,4,3,4,4,4,3,4,0,4,4,4,4,4,4,4,4,4,
['0.05',4,4,3,3,16,4,4,6,6,4,5,11,4,0,2,7,4,2,2,0,2,2,4,4,10,4,10,3,8,4,2,8,4,4,4,3,4,4,4,2,4,3,4,3,4,0,3,3,4,4,4,4,4,4,4,
['0.04',4,4,3,3,16,4,4,6,6,4,5,11,4,0,2,7,4,2,2,0,2,2,4,4,10,4,9,3,8,4,2,7,4,4,4,3,3,4,4,2,4,3,3,3,4,1,3,2,3,4,3,4,4,4,4,
['0.03',4,4,3,3,16,4,4,6,6,4,4,11,3,0,2,7,3,2,2,0,1,2,4,4,11,4,9,3,9,4,2,7,4,3,4,4,4,4,4,2,4,3,3,3,4,2,2,1,3,4,4,4,4,4,4,
['0.02',3,3,2,4,15,4,4,6,6,4,4,11,4,1,2,7,3,2,2,0,2,2,4,4,11,4,8,3,9,4,2,6,4,3,4,4,4,4,3,2,4,3,3,3,4,2,2,1,2,3,2,4,4,4,4,
['0.01',1,2,1,3,14,4,4,4,5,5,3,11,4,0,2,6,3,2,2,0,1,2,4,4,11,4,8,2,9,4,2,5,3,3,4,4,4,4,1,1,3,3,3,2,4,1,3,1,2,2,2,4,5,4,4,
Drops,3,2,3,0,2,0,0,2,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,3,1,1,0,1,2,0,3,2,1,1,1,1,0,0,2,3,2,2,2,0,0,0,0,0.9272727273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,3,2,1,1,10,3,3,6,7,3,3,12,4,0,1,5,3,2,2,1,0,0,3,3,11,4,11,4,7,4,4,5,4,4,4,3,4,3,3,3,1,4,3,2,3,2,2,4,2,3,4,4,3,3,3,
['0.05',4,3,3,0,6,5,3,5,6,3,3,12,4,0,2,5,3,2,2,0,0,0,3,3,12,3,10,3,8,4,4,6,3,2,3,3,3,3,3,2,2,3,4,2,3,1,1,2,3,2,2,3,3,3,3,
['0.04',4,3,3,0,6,4,3,5,6,4,3,12,4,0,0,5,3,2,2,0,0,0,2,2,11,3,9,1,5,4,4,3,2,2,3,3,4,3,2,2,1,3,4,3,3,0,0,1,3,1,2,3,3,3,3,
['0.03',4,4,3,0,5,4,2,4,5,4,3,11,4,0,0,4,3,2,2,0,0,0,2,2,11,2,7,1,4,4,4,5,3,3,3,3,3,3,2,2,2,3,3,3,3,0,0,1,3,1,2,3,3,3,3,
['0.02',5,1,1,0,6,5,3,5,6,4,3,16,4,0,0,3,3,2,2,0,0,0,2,2,11,2,7,1,5,4,4,3,2,3,3,3,3,3,2,2,2,3,3,3,3,0,1,2,3,1,2,3,3,3,3,
['0.01',6,2,1,0,3,5,2,3,6,3,2,10,2,1,0,1,0,0,0,0,0,0,2,1,8,1,6,1,5,2,1,3,2,2,4,2,3,3,2,2,2,1,1,0,3,0,1,1,2,1,1,3,3,3,3,
Drops,0,1,0,1,7,0,1,3,2,0,1,2,2,0,1,4,3,2,2,1,0,0,1,2,3,3,5,3,3,2,3,2,2,2,1,1,1,0,1,1,0,3,2,2,0,2,2,3,0,2,3,1,0,0,0,1.618181818
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,3,3,13,3,4,8,8,4,4,13,4,1,4,9,4,4,4,2,2,3,4,4,9,4,9,5,7,4,3,8,4,4,4,4,3,4,3,2,4,4,4,4,3,0,2,3,4,4,3,4,4,4,4,
['0.05',4,4,3,3,12,3,4,7,8,4,4,14,4,0,2,7,4,4,4,1,0,2,4,4,10,4,7,2,7,4,3,7,4,4,4,4,4,4,2,2,4,4,4,4,3,1,1,3,3,4,3,3,4,4,4,
['0.04',4,4,3,3,13,3,4,7,8,4,4,15,4,0,2,7,4,4,4,1,0,2,4,4,10,4,7,3,7,4,3,7,4,4,4,4,3,4,2,2,4,4,4,4,3,0,1,3,4,4,3,3,4,4,4,
['0.03',4,4,3,3,11,3,4,6,7,4,4,13,4,0,2,6,4,4,4,1,0,2,4,4,9,4,7,3,7,4,3,8,4,4,4,4,3,4,1,2,4,4,4,4,3,1,1,3,3,4,3,3,4,4,4,
['0.02',4,4,4,3,11,3,4,4,7,5,3,14,4,0,2,7,3,4,4,1,0,3,4,4,10,3,5,3,6,4,2,6,3,3,4,5,3,5,1,2,4,3,3,3,1,1,1,2,3,3,2,3,4,4,3,
['0.01',4,3,2,4,10,4,4,4,7,5,4,11,4,1,1,6,3,3,3,1,0,2,3,3,6,3,5,1,6,3,2,5,3,2,4,4,4,3,1,2,4,3,3,3,1,1,0,2,2,2,0,2,3,4,4,
Drops,0,1,1,0,3,0,0,4,1,0,1,2,0,1,3,3,1,1,1,1,2,1,1,1,3,1,4,4,1,1,1,3,1,2,0,0,0,1,2,0,0,1,1,1,2,0,2,1,2,2,3,2,1,0,1,1.309090909
